Date,Nifty Close,Nifty VolumeÂ ,Daily Return (%NIFTY),BHEL Close,BHEL Volume,Daily Return (%BHEL),BEL Close,BEL Volume,Daily Return (%BEL)
2/14/22,16842.80078,30550000,3.03,52.55735397,26510266,3.10,62.38358307,31961610,1.56
2/15/22,17352.44922,29870000,-0.17,54.1889534,20300727,0.55,63.35484314,10746255,0.03
2/16/22,17322.19922,24450000,-0.10,54.48560715,17655412,-1.54,63.37076569,13420629,1.01
2/17/22,17304.59961,23210000,-0.16,53.6450882,45900731,-1.57,64.00765228,19166469,-0.50
2/18/22,17276.30078,18960000,-0.40,52.80456543,17873081,-5.43,63.68920898,10616886,-0.92
2/21/22,17206.65039,21520000,-0.67,49.93690109,44296864,-2.08,63.10008621,10470885,-0.40
2/22/22,17092.19922,30010000,-0.17,48.89860916,51316741,0.40,62.84532928,20409699,0.84
2/23/22,17063.25,20020000,-4.78,49.09638214,31779044,-10.67,63.37076569,10145349,-5.60
2/24/22,16247.9502,45800000,2.53,43.85548019,48563259,8.57,59.82008362,24915339,6.55
2/25/22,16658.40039,32980000,0.81,47.61310577,61882199,3.53,63.73697281,22461840,5.15
2/28/22,16793.90039,40420000,-1.12,49.29414749,41519924,1.10,67.01696777,35587689,2.64
3/2/22,16605.94922,51770000,-0.65,49.83801651,33734292,0.10,68.78434753,51608091,-0.44
3/3/22,16498.05078,44210000,-1.53,49.8874588,25803995,-2.48,68.48182678,28625697,-0.07
3/4/22,16245.34961,45610000,--,48.65139771,25945200,--,68.43405151,46128378,--